日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-05-29,'000006,深振业Ａ,4.81,4.89,4.77,4.79,4.81,0.0,0.0,0.5765,7782685,37452963.41,6493476171.26,6493476171.26
2020-05-28,'000006,深振业Ａ,4.81,4.87,4.75,4.81,4.79,0.02,0.4175,0.4776,6447785,31022664.54,6493476171.26,6493476171.26
2020-05-27,'000006,深振业Ａ,4.79,4.82,4.77,4.8,4.82,-0.03,-0.6224,0.4096,5529044,26524836.75,6466476270.34,6466476270.34
2020-05-26,'000006,深振业Ａ,4.82,4.87,4.72,4.73,4.72,0.1,2.1186,0.8144,10994757,52868994.56,6506976121.72,6506976121.72
2020-05-25,'000006,深振业Ａ,4.72,4.74,4.64,4.68,4.68,0.04,0.8547,0.3235,4367771,20552589.59,6371976617.12,6371976617.12
2020-05-22,'000006,深振业Ａ,4.68,4.8,4.67,4.78,4.79,-0.11,-2.2965,0.6373,8603171,40639782.14,6317976815.28,6317976815.28
2020-05-21,'000006,深振业Ａ,4.79,4.85,4.79,4.82,4.84,-0.05,-1.0331,0.479,6466695,31192302.33,6466476270.34,6466476270.34
2020-05-20,'000006,深振业Ａ,4.84,4.87,4.8,4.87,4.84,0.0,0.0,0.5803,7834201,37761261.55,6533976022.64,6533976022.64
2020-05-19,'000006,深振业Ａ,4.84,4.9,4.84,4.87,4.85,-0.01,-0.2062,0.5016,6771707,32919190.14,6533976022.64,6533976022.64
2020-05-18,'000006,深振业Ａ,4.85,4.91,4.82,4.91,4.93,-0.08,-1.6227,0.7735,10442326,50731055.02,6547475973.1,6547475973.1
2020-05-15,'000006,深振业Ａ,4.93,5.1,4.92,4.97,4.91,0.02,0.4073,1.2505,16882134,84371498.7,6655475576.78,6655475576.78
2020-05-14,'000006,深振业Ａ,4.91,5.02,4.8,4.9,4.92,-0.01,-0.2033,0.9005,12156036,59942356.87,6628475675.86,6628475675.86
2020-05-13,'000006,深振业Ａ,4.92,4.94,4.79,4.88,4.89,0.03,0.6135,0.792,10691567,52078204.46,6641975626.32,6641975626.32
2020-05-12,'000006,深振业Ａ,4.89,4.98,4.89,4.95,4.94,-0.05,-1.0121,0.4761,6427026,31600828.11,6601475774.94,6601475774.94
2020-05-11,'000006,深振业Ａ,4.94,4.97,4.92,4.93,4.94,0.0,0.0,0.5888,7948790,39260350.47,6668975527.24,6668975527.24
2020-05-08,'000006,深振业Ａ,4.94,4.97,4.92,4.97,4.94,0.0,0.0,0.5607,7569953,37428859.86,6668975527.24,6668975527.24
2020-05-07,'000006,深振业Ａ,4.94,4.99,4.88,4.98,4.97,-0.03,-0.6036,1.0416,14061820,69305440.5,6668975527.24,6668975527.24
2020-05-06,'000006,深振业Ａ,4.97,5.0,4.86,4.96,4.99,-0.02,-0.4008,0.9775,13195782,64995863.95,6709475378.62,6709475378.62
2020-04-30,'000006,深振业Ａ,4.99,5.02,4.91,4.91,4.95,0.04,0.8081,0.893,12055280,59937830.25,6736475279.54,6736475279.54
2020-04-29,'000006,深振业Ａ,4.95,4.96,4.82,4.92,4.89,0.06,1.227,0.8115,10954567,53692072.65,6682475477.7,6682475477.7
2020-04-28,'000006,深振业Ａ,4.89,5.11,4.86,5.06,5.05,-0.16,-3.1683,1.3343,18013081,89142736.61,6601475774.94,6601475774.94
2020-04-27,'000006,深振业Ａ,5.05,5.23,5.03,5.15,5.09,-0.04,-0.7859,1.6054,21673300,110909159.32,6817474982.3,6817474982.3
2020-04-24,'000006,深振业Ａ,5.09,5.27,5.05,5.16,5.1,-0.01,-0.1961,2.508,33857339,174128301.18,6871474784.14,6871474784.14
2020-04-23,'000006,深振业Ａ,5.1,5.21,4.99,5.07,5.09,0.01,0.1965,2.6786,36160747,185269363.07,6884974734.6,6884974734.6
2020-04-22,'000006,深振业Ａ,5.09,5.09,4.55,4.6,4.63,0.46,9.9352,3.5403,47793497,234374671.47,6871474784.14,6871474784.14
2020-04-21,'000006,深振业Ａ,4.63,4.64,4.55,4.63,4.65,-0.02,-0.4301,0.6103,8238381,37884092.29,6250477062.98,6250477062.98
2020-04-20,'000006,深振业Ａ,4.65,4.66,4.59,4.62,4.63,0.02,0.432,0.6288,8489038,39323745.18,6277476963.9,6277476963.9
2020-04-17,'000006,深振业Ａ,4.63,4.67,4.6,4.66,4.63,0.0,0.0,0.6234,8415479,38999426.77,6250477062.98,6250477062.98
2020-04-16,'000006,深振业Ａ,4.63,4.66,4.6,4.62,4.62,0.01,0.2165,0.6455,8714145,40349643.52,6250477062.98,6250477062.98
2020-04-15,'000006,深振业Ａ,4.62,4.67,4.62,4.66,4.68,-0.06,-1.2821,0.4785,6459872,29993967.05,6236977112.52,6236977112.52
2020-04-14,'000006,深振业Ａ,4.68,4.71,4.62,4.65,4.61,0.07,1.5184,0.714,9638313,44988949.94,6317976815.28,6317976815.28
2020-04-13,'000006,深振业Ａ,4.61,4.67,4.58,4.67,4.69,-0.08,-1.7058,0.594,8018500,37122671.0,6223477162.06,6223477162.06
2020-04-10,'000006,深振业Ａ,4.69,4.71,4.62,4.69,4.67,0.02,0.4283,0.8026,10835462,50502011.41,6331476765.74,6331476765.74
2020-04-09,'000006,深振业Ａ,4.67,4.73,4.66,4.67,4.64,0.03,0.6466,0.6966,9404266,44142235.27,6304476864.82,6304476864.82
2020-04-08,'000006,深振业Ａ,4.64,4.68,4.62,4.65,4.7,-0.06,-1.2766,0.7326,9889971,45951227.49,6263977013.44,6263977013.44
2020-04-07,'000006,深振业Ａ,4.7,4.74,4.62,4.65,4.73,-0.03,-0.6342,1.414,19089278,89424746.03,6344976716.2,6344976716.2
2020-04-03,'000006,深振业Ａ,4.73,4.86,4.44,4.5,4.51,0.22,4.878,1.7509,23637187,109951678.33,6385476567.58,6385476567.58
2020-04-02,'000006,深振业Ａ,4.51,4.51,4.4,4.43,4.43,0.08,1.8059,0.6208,8380660,37459220.53,6088477657.46,6088477657.46
2020-04-01,'000006,深振业Ａ,4.43,4.53,4.4,4.47,4.48,-0.05,-1.1161,0.495,6682354,29910411.97,5980478053.78,5980478053.78
2020-03-31,'000006,深振业Ａ,4.48,4.56,4.44,4.56,4.51,-0.03,-0.6652,0.6167,8325107,37408546.08,6047977806.08,6047977806.08
2020-03-30,'000006,深振业Ａ,4.51,4.57,4.45,4.57,4.58,-0.07,-1.5284,0.6611,8924793,40143894.0,6088477657.46,6088477657.46
2020-03-27,'000006,深振业Ａ,4.58,4.66,4.54,4.6,4.54,0.04,0.8811,0.8872,11976705,55146649.34,6182977310.68,6182977310.68
2020-03-26,'000006,深振业Ａ,4.54,4.61,4.52,4.61,4.63,-0.09,-1.9438,0.6175,8336892,37974625.02,6128977508.84,6128977508.84
2020-03-25,'000006,深振业Ａ,4.63,4.69,4.51,4.6,4.52,0.11,2.4336,1.1085,14964092,68692168.62,6250477062.98,6250477062.98
2020-03-24,'000006,深振业Ａ,4.52,4.57,4.45,4.49,4.45,0.07,1.573,0.6802,9182141,41527344.55,6101977607.92,6101977607.92
2020-03-23,'000006,深振业Ａ,4.45,4.57,4.42,4.51,4.62,-0.17,-3.6797,0.6689,9029640,40588595.96,6007477954.7,6007477954.7
2020-03-20,'000006,深振业Ａ,4.62,4.65,4.56,4.62,4.57,0.05,1.0941,0.6395,8633651,39715003.22,6236977112.52,6236977112.52
2020-03-19,'000006,深振业Ａ,4.57,4.63,4.46,4.55,4.57,0.0,0.0,0.7461,10072335,45746708.14,6169477360.22,6169477360.22
2020-03-18,'000006,深振业Ａ,4.57,4.78,4.56,4.7,4.68,-0.11,-2.3504,0.9679,13066284,61166085.96,6169477360.22,6169477360.22
2020-03-17,'000006,深振业Ａ,4.68,4.85,4.6,4.74,4.75,-0.07,-1.4737,1.1715,15815748,74351113.19,6317976815.28,6317976815.28
2020-03-16,'000006,深振业Ａ,4.75,5.03,4.71,4.85,4.78,-0.03,-0.6276,1.8627,25146427,122778381.48,6412476468.5,6412476468.5
2020-03-13,'000006,深振业Ａ,4.78,4.81,4.51,4.51,4.77,0.01,0.2096,1.2395,16732683,77999123.48,6452976319.88,6452976319.88
2020-03-12,'000006,深振业Ａ,4.77,4.83,4.74,4.83,4.88,-0.11,-2.2541,0.8514,11493675,54974257.77,6439476369.42,6439476369.42
2020-03-11,'000006,深振业Ａ,4.88,4.94,4.81,4.88,4.85,0.03,0.6186,1.1526,15559490,75928319.92,6587975824.48,6587975824.48
2020-03-10,'000006,深振业Ａ,4.85,4.9,4.71,4.74,4.8,0.05,1.0417,1.1407,15399426,74138170.42,6547475973.1,6547475973.1
2020-03-09,'000006,深振业Ａ,4.8,4.91,4.79,4.88,4.95,-0.15,-3.0303,1.1582,15635343,75672373.82,6479976220.8,6479976220.8
2020-03-06,'000006,深振业Ａ,4.95,5.06,4.94,5.05,5.09,-0.14,-2.7505,1.1845,15990083,79629365.02,6682475477.7,6682475477.7
2020-03-05,'000006,深振业Ａ,5.09,5.13,4.98,5.0,5.1,-0.01,-0.1961,1.8731,25286677,128199070.13,6871474784.14,6871474784.14
2020-03-04,'000006,深振业Ａ,5.1,5.2,4.89,5.06,5.06,0.04,0.7905,2.868,38718013,194820388.58,6884974734.6,6884974734.6
2020-03-03,'000006,深振业Ａ,5.06,5.19,4.78,4.88,4.82,0.24,4.9793,1.9993,26990064,132530415.84,6830974932.76,6830974932.76
2020-03-02,'000006,深振业Ａ,4.82,4.86,4.63,4.63,4.63,0.19,4.1037,1.1372,15352044,73647400.53,6506976121.72,6506976121.72
2020-02-28,'000006,深振业Ａ,4.63,4.79,4.58,4.7,4.79,-0.16,-3.3403,1.0317,13928166,65017802.69,6250477062.98,6250477062.98
2020-02-27,'000006,深振业Ａ,4.79,4.9,4.75,4.86,4.84,-0.05,-1.0331,0.8358,11283448,54418370.32,6466476270.34,6466476270.34
2020-02-26,'000006,深振业Ａ,4.84,4.97,4.66,4.66,4.74,0.1,2.1097,1.6614,22428521,108985326.72,6533976022.64,6533976022.64
2020-02-25,'000006,深振业Ａ,4.74,4.78,4.62,4.75,4.82,-0.08,-1.6598,1.1406,15398590,72623133.28,6398976518.04,6398976518.04
2020-02-24,'000006,深振业Ａ,4.82,4.87,4.76,4.83,4.89,-0.07,-1.4315,1.0693,14435632,69508252.9,6506976121.72,6506976121.72
2020-02-21,'000006,深振业Ａ,4.89,4.93,4.83,4.85,4.88,0.01,0.2049,0.8037,10850429,52946623.05,6601475774.94,6601475774.94
2020-02-20,'000006,深振业Ａ,4.88,4.9,4.8,4.84,4.84,0.04,0.8264,0.7906,10673332,51801721.68,6587975824.48,6587975824.48
2020-02-19,'000006,深振业Ａ,4.84,4.92,4.79,4.82,4.81,0.03,0.6237,0.9111,12299811,59758927.47,6533976022.64,6533976022.64
2020-02-18,'000006,深振业Ａ,4.81,4.88,4.78,4.82,4.84,-0.03,-0.6198,0.7536,10174147,48939037.59,6493476171.26,6493476171.26
2020-02-17,'000006,深振业Ａ,4.84,4.85,4.7,4.71,4.72,0.12,2.5424,0.9177,12388903,59233568.11,6533976022.64,6533976022.64
2020-02-14,'000006,深振业Ａ,4.72,4.74,4.62,4.66,4.66,0.06,1.2876,0.6888,9298682,43552076.41,6371976617.12,6371976617.12
